scope,method,n,mean,median,mean_minus_median,p90,p95,p99,cvar90,gt15,gt20,gt30,roll_median,pitch_median,roll_p90,pitch_p90
Exp2-RandObs,MPC,1030,3.516885432997196,3.190104414219284,0.3267810187779121,4.092321988267192,5.260628318464671,13.67403071867913,10.268117140677859,0.008737864077669903,0.003883495145631068,0.003883495145631068,2.8401292606747024,1.0768544547333803,3.6995719639374074,2.75645397919071
Exp3-RandH,PPO,1993,10.526873566851943,3.8733242255128775,6.653549341339065,25.153089251747545,40.44141156264802,98.93539309499164,52.402937674340336,0.17210235825388862,0.13196186653286504,0.07626693426994481,3.5381745938500053,1.6411851745273438,19.270982592219113,10.451164781132986
Exp3-RandH,Proposed,1962,18.958794846243052,12.548037613187333,6.410757233055719,32.664714879940135,61.286431179691576,137.21056616910312,76.59008881697198,0.4169215086646279,0.26758409785932724,0.11518858307849134,8.743045118777353,4.344751632936811,29.116793171365213,17.49461021552538
Exp3-RandH,PPO-GRU,1982,17.600376456228343,9.184840046878334,8.41553640935001,33.83728105088471,67.73319799405206,145.20699419779544,81.21890300343466,0.2921291624621594,0.20332996972754794,0.11907164480322906,6.785014298842286,4.711409847961436,29.08542211250734,15.343103359047031
Exp3-RandH,MPC,1049,3.332644364708782,3.2033625859799333,0.12928177872884872,4.098307511224407,4.9552873946506315,14.499893861026845,8.32089437346967,0.0076263107721639654,0.0038131553860819827,0.0019065776930409914,2.764437104292621,1.1005210602074744,3.6631697877369063,2.7340892077724206
Exp4-Medium,PPO,1988,17.983212553613956,11.837078301638934,6.146134251975022,38.5735153004532,52.41127061077378,97.76428463841636,63.16736190368418,0.3717303822937626,0.2665995975855131,0.1493963782696177,9.757403342605116,3.8610649566731885,28.06841923943294,21.07927927309349
Exp4-Medium,Proposed,1984,18.598385538147845,12.634596209392619,5.963789328755226,31.749553116215647,53.60402193726379,132.37771620294313,73.21091786740281,0.40826612903225806,0.26764112903225806,0.11340725806451613,8.719364852924919,4.409788694213672,28.7883293741793,16.42071596477828
Exp4-Medium,PPO-GRU,1984,16.767704834713886,9.076766119769742,7.690938714944144,32.63888995676477,52.69432724227024,135.59655908043806,74.99563400837326,0.2842741935483871,0.1935483870967742,0.11491935483870967,6.651764138324507,4.580386329113081,28.653980919242983,15.409425861925696
Exp4-Medium,MPC,1035,3.0851617970430247,3.087887527912654,-0.0027257308696291283,3.980359469056321,4.749651041911779,11.942177144336787,6.593190027105532,0.002898550724637681,0.000966183574879227,0.000966183574879227,2.6462065297597,1.0148158465021546,3.694495767346253,2.5568922440969457
Exp4-Strong,PPO,1827,25.900257846045175,13.75117558626126,12.149082259783915,61.71290701731689,86.52215749375783,151.3754448830392,98.11923912263875,0.4745484400656814,0.39846743295019155,0.2791461412151067,10.308408363328384,5.545635492808453,46.21003551654181,43.51203702834374
Exp4-Strong,Proposed,1763,29.85277662161255,15.152689261444408,14.70008736016814,85.23786640483988,125.9819609741196,161.10627199720065,126.25171998286442,0.5048213272830403,0.394781622234827,0.26999432785025523,11.866838965871851,5.700189013347502,76.82012387444956,31.990524230680705
Exp4-Strong,PPO-GRU,1737,29.864328447992364,13.748777545792631,16.115550902199733,97.35930174504932,130.08436155877976,166.44210262887083,133.69557545117758,0.46286701208981,0.3436960276338515,0.24179620034542315,9.77076319262166,6.957544877276809,87.48284693493453,25.41169421835146
Exp4-Strong,MPC,420,3.6230228842073653,3.3129289683532015,0.3100939158541638,5.380917534449492,7.532900341996624,14.505738851104622,9.560144717005823,0.009523809523809525,0.004761904761904762,0.002380952380952381,2.60868147045965,1.3745209289517057,4.238938342314974,3.6432966693278384
