scope,method,n,mean,median,p90,p95,p99,cvar90,gt20,gt30
Exp2 randomObstacle,PPO,1985,18.176885950234052,11.51020146949339,39.484801066730434,52.588972105186855,111.79400489110348,65.61758269966096,0.2760705289672544,0.15717884130982368
Exp2 randomObstacle,Proposed,1977,18.642255751693725,12.924673569241511,33.31415789069523,55.63813781842039,137.4757747863766,73.82736164838313,0.26707132018209406,0.11734951947395043
Exp2 randomObstacle,PPO-GRU,1990,17.20586911043513,9.047323888135562,32.41926489553127,56.814289430313956,143.89646133708763,79.61221120652361,0.1934673366834171,0.11055276381909548
Exp2 randomObstacle,MPC,1030,3.516885432997196,3.190104414219284,4.092321988267192,5.260628318464671,13.67403071867913,10.268117140677859,0.003883495145631068,0.003883495145631068
Exp3 randomH fixedObs,PPO,1993,10.526873566851943,3.8733242255128775,25.153089251747545,40.44141156264802,98.93539309499164,52.402937674340336,0.13196186653286504,0.07626693426994481
Exp3 randomH fixedObs,Proposed,1962,18.958794846243052,12.548037613187333,32.664714879940135,61.286431179691576,137.21056616910312,76.59008881697198,0.26758409785932724,0.11518858307849134
Exp3 randomH fixedObs,PPO-GRU,1982,17.600376456228343,9.184840046878334,33.83728105088471,67.73319799405206,145.20699419779544,81.21890300343466,0.20332996972754794,0.11907164480322906
Exp3 randomH fixedObs,MPC,1049,3.332644364708782,3.2033625859799333,4.098307511224407,4.9552873946506315,14.499893861026845,8.32089437346967,0.0038131553860819827,0.0019065776930409914
Exp4 mediumWind multiH noObs,PPO,1990,9.874854445018023,3.799967862507189,24.508073944834596,38.53793087674413,85.31042872797815,47.9903980088292,0.12864321608040202,0.07487437185929648
Exp4 mediumWind multiH noObs,Proposed,1956,18.945916434895373,13.185056801315174,33.72577293235983,55.81639266932102,132.19868349303272,71.21329268118741,0.2929447852760736,0.1273006134969325
Exp4 mediumWind multiH noObs,PPO-GRU,1947,18.119911686985777,12.566115099024143,32.115454889057894,50.840940776734925,134.90500194957704,68.90021445790201,0.25475089881869545,0.1150487930148947
Exp4 mediumWind multiH noObs,MPC,1065,3.3284382958345473,3.222177050963097,4.041215841662356,5.52048943412838,11.57486550761884,7.942364343535485,0.0009389671361502347,0.0009389671361502347
Exp4 strongWind multiH noObs,PPO,1922,14.133092263375449,4.906645748272302,36.21472194557659,59.97459670677095,119.13501951378302,70.8721764927476,0.19614984391259105,0.13007284079084286
Exp4 strongWind multiH noObs,Proposed,1758,29.96442162762695,16.50718316874211,82.99615816795279,118.09776231428015,154.01998148090277,120.46222542574672,0.4129692832764505,0.27588168373151306
Exp4 strongWind multiH noObs,PPO-GRU,1774,29.940531625454607,17.120871344990597,75.33788489359102,126.63404100561395,168.4971880807846,125.21856290971891,0.4177001127395716,0.25817361894024804
Exp4 strongWind multiH noObs,MPC,442,3.996867184136219,3.5709535376528256,6.060552442502251,8.511693452401877,12.652985081341196,10.57348615624311,0.0022624434389140274,0.0022624434389140274
Exp4 weakWind multiH noObs,PPO,2000,5.50631245413961,2.749700751265038,11.479432368524561,13.097764604831415,36.22342168959382,19.298364468242127,0.018,0.0115
Exp4 weakWind multiH noObs,Proposed,1991,9.012558260206324,8.155291306650614,15.319364441173782,17.789820505142508,25.165549401309438,20.56464500838102,0.027122049221496736,0.0065293822199899544
Exp4 weakWind multiH noObs,PPO-GRU,1967,9.820538807945963,7.807086621160549,17.52770815982775,20.939576171741656,40.456820797526156,27.630771381197036,0.058973055414336555,0.020335536349771224
Exp4 weakWind multiH noObs,MPC,1742,2.1947337568489775,2.2357377611876785,2.678706101827571,2.878398219451914,9.114981286042068,4.211223619634537,0.0,0.0
Exp5 complexMix,PPO,1977,11.030627503343627,4.4933364155504405,24.424776029947306,47.70539751989369,94.51280269372685,55.93265404870879,0.12392513909964593,0.08042488619119878
Exp5 complexMix,Proposed,1930,19.66360458361066,12.015360548384812,35.54561521091479,79.68277898226901,143.35417221933832,86.86988113064686,0.24611398963730569,0.12694300518134716
Exp5 complexMix,PPO-GRU,1933,17.765248155934916,9.681328198926845,35.16558415484432,69.26775744821047,139.36934317238965,81.0794627726275,0.2074495602690119,0.12364200724262804
Exp5 complexMix,MPC,941,3.187464359100483,2.830693988589535,4.4600858790339935,5.531863021624459,11.955397071962846,8.233973114448839,0.0021253985122210413,0.0010626992561105207
