step,rl_mean,rl_std,rl_ema,baseline_mean,baseline_std,baseline_ema,pid_mean,pid_std,pid_ema
78,78.0,0.0,24.204365026647583,78.0,0.0,24.204365026647583,78.0,0.0,24.204365026647583
79,79.0,0.0,24.752321376381104,79.0,0.0,24.752321376381104,79.0,0.0,24.752321376381104
80,80.0,0.0,25.304798162617292,80.0,0.0,25.304798162617292,80.0,0.0,25.304798162617292
81,81.0,0.0,25.86175018099112,81.0,0.0,25.86175018099112,81.0,0.0,25.86175018099112
82,82.0,0.0,26.423132679181208,82.0,0.0,26.423132679181208,82.0,0.0,26.423132679181208
83,83.0,0.0,26.988901352389398,83.0,0.0,26.988901352389398,83.0,0.0,26.988901352389398
84,84.0,0.0,27.559012338865504,84.0,0.0,27.559012338865504,84.0,0.0,27.559012338865504
85,85.0,0.0,28.13342221547685,85.0,0.0,28.13342221547685,85.0,0.0,28.13342221547685
86,86.0,0.0,28.71208799332208,86.0,0.0,28.71208799332208,86.0,0.0,28.71208799332208
87,87.0,0.0,29.29496711338886,87.0,0.0,29.29496711338886,87.0,0.0,29.29496711338886
88,88.0,0.0,29.88201744225497,88.0,0.0,29.88201744225497,88.0,0.0,29.88201744225497
89,89.0,0.0,30.473197267832422,89.0,0.0,30.473197267832422,89.0,0.0,30.473197267832422
90,90.0,0.0,31.0684652951541,90.0,0.0,31.0684652951541,90.0,0.0,31.0684652951541
91,91.0,0.0,31.66778064220256,91.0,0.0,31.66778064220256,91.0,0.0,31.66778064220256
92,92.0,0.0,32.27110283578053,92.0,0.0,32.27110283578053,92.0,0.0,32.27110283578053
93,93.0,0.0,32.87839180742273,93.0,0.0,32.87839180742273,93.0,0.0,32.87839180742273
94,94.0,0.0,33.4896078893485,94.0,0.0,33.4896078893485,94.0,0.0,33.4896078893485
95,95.0,0.0,34.104711810455015,95.0,0.0,34.104711810455015,95.0,0.0,34.104711810455015
96,96.0,0.0,34.72366469235047,96.0,0.0,34.72366469235047,96.0,0.0,34.72366469235047
97,97.0,0.0,35.34642804542696,97.0,0.0,35.34642804542696,97.0,0.0,35.34642804542696
98,98.0,0.0,35.9729637649727,98.0,0.0,35.9729637649727,98.0,0.0,35.9729637649727
99,99.0,0.0,36.60323412732297,99.0,0.0,36.60323412732297,99.0,0.0,36.60323412732297
100,100.0,0.0,37.23720178604974,100.0,0.0,37.23720178604974,100.0,0.0,37.23720178604974
101,101.0,0.0,37.87482976818924,101.0,0.0,37.87482976818924,101.0,0.0,37.87482976818924
102,102.0,0.0,38.516081470507345,102.0,0.0,38.516081470507345,102.0,0.0,38.516081470507345
103,103.0,0.0,39.16092065580227,103.0,0.0,39.16092065580227,103.0,0.0,39.16092065580227
104,104.0,0.0,39.80931144924425,104.0,0.0,39.80931144924425,104.0,0.0,39.80931144924425
105,105.0,0.0,40.46121833475181,105.0,0.0,40.46121833475181,105.0,0.0,40.46121833475181
106,106.0,0.0,41.1166061514043,106.0,0.0,41.1166061514043,106.0,0.0,41.1166061514043
107,107.0,0.0,41.77544008989025,107.0,0.0,41.77544008989025,107.0,0.0,41.77544008989025
108,108.0,0.0,42.43768568899135,108.0,0.0,42.43768568899135,108.0,0.0,42.43768568899135
