step,rl_mean,rl_std,rl_ema,baseline_mean,baseline_std,baseline_ema,pid_mean,pid_std,pid_ema
53,4.842752531766892,1.7846379511343433,4.930900992674214,4.065566913336515,2.2107318672091263,4.700546204239075,4.236027058213949,1.9938513359267394,4.663237229568999
54,4.790671207904816,1.7477470463916043,4.9294986948265205,4.014878125488758,2.2281983907326546,4.693689523451572,4.4009149101376535,1.9487863264682541,4.6606140063746855
55,4.714266338348389,1.7237793580920415,4.92734637126174,3.892874784320593,2.172279149271533,4.685681376060263,4.29861395418644,1.9509303827625506,4.656994005852803
56,4.747229608297348,1.758589496144955,4.925545203632096,3.948510497957468,2.1577605848164474,4.678309667279234,4.252119843959808,1.9530843783586476,4.652945264233873
57,4.747395559549331,1.7961365856155216,4.923763707191268,3.9184643106162547,2.150019778500986,4.670711213712605,4.22918462485075,1.9563099010845872,4.648707657840041
58,4.754472060203552,1.7942797038878409,4.922070790721391,3.9713348625600338,2.1655464995738307,4.663717450201079,4.093951513171196,1.85426755396446,4.643160096393353
59,4.82864396572113,1.8306811205372024,4.9211365224713886,3.936371379941702,2.190952480227031,4.656443989498485,4.123753205686808,1.845013229607703,4.6379660274862875
60,4.848185875415802,1.835880283283823,4.920407016000833,3.994660388454795,2.2276302456976205,4.649826153488049,4.155604401379824,1.8397739214914777,4.633142411225222
61,4.747286570072174,1.7958147969653324,4.918675811541546,3.9980244386196135,2.248329532028961,4.643308136339365,4.22531654804945,1.8436814789868585,4.629064152593465
62,4.633674359321594,1.769254539402519,4.915825797019346,3.9689400243759154,2.2548363612133757,4.63656445521973,4.125220104157925,1.8253537544215201,4.624025712109109
63,4.658842841386795,1.7973585132922338,4.91325596746302,4.084237962067127,2.257613327101734,4.6310411902882045,4.104168800711632,1.8242369468628148,4.618827142995134
64,4.670303488373756,1.816043052628998,4.9108264426721275,4.067690713405609,2.273611608076545,4.625407685519379,4.121885786056518,1.808457614876808,4.613857729425749
65,4.693711701035499,1.850170791204344,4.908655295255762,4.03095680847764,2.300391745017227,4.619463176748962,4.201998144984246,1.8426211179151926,4.609739133581333
66,4.64068565249443,1.8157232596545374,4.905975598828149,4.00094873085618,2.2845263855427027,4.613278032290034,4.180295903682708,1.8726162934967046,4.605444701282347
67,4.623359599113464,1.7918763281202716,4.903149438831002,3.9547922414541246,2.2922055705867534,4.606693174381674,4.164613267481327,1.8602318190183966,4.601036386944337
68,4.6803025561571125,1.7853258849030444,4.900920970004263,4.007582177221775,2.329139581562429,4.600702064410076,4.113065249919892,1.810692746748102,4.5961566755740915
69,4.657276979088783,1.7801169398765748,4.898484530095108,3.987593568563461,2.299956524694618,4.59457097945161,4.091844200193882,1.8224379748316386,4.591113550820289
70,4.686213645339012,1.7677787369560591,4.896361821247547,3.8904288517683745,2.2867917844216854,4.5875295581747775,4.073485859632492,1.841643330184415,4.585937273908411
71,4.686435812711716,1.7199140387524834,4.894262561162189,3.8658735747635364,2.2913877244294345,4.5803129983406645,4.0454650232195855,1.8687708880366978,4.5805325514015225
72,4.71706715464592,1.6668803462726467,4.8924906070970255,3.8202231810986995,2.2597294671119488,4.572712100168245,4.053475002944469,1.8922769885642654,4.575261975916952
73,4.834977096319198,1.644101674558478,4.891915471989247,3.8066186911612747,2.2768922374077576,4.565051166078176,4.005553674697876,1.9265426352655424,4.569564892904761
74,4.860524379014969,1.63535524816453,4.891601561059504,3.7526793759316206,2.270963026262488,4.556927448176711,4.054458603560924,1.9462219802935612,4.564413830011323
75,4.847754468917847,1.6360990311862007,4.891163090138088,3.6471746429800986,2.2302843829453853,4.5478299201247445,4.07550452426076,1.9839614204696918,4.559524736953818
76,4.813331896662712,1.6374526375464977,4.890384778203334,3.6051301533728837,2.2452839737439367,4.538402922457226,4.056875882744789,1.9907836696816188,4.554498248411727
77,4.8186337029933926,1.6273743506173313,4.889667267451235,3.5503111614286897,2.2268417728740384,4.52852200484694,4.07489010438323,2.028058761885942,4.549702166971442
78,4.826179996728897,1.6384285247379464,4.889032394744011,3.5205728363990785,2.2236036139739292,4.518442513162462,4.13436241582036,2.072894647100164,4.5455487694599315
79,4.857985903024673,1.654481450826053,4.888721929826818,3.342918349877,2.0679978654712974,4.506687271529607,4.1432632172107695,2.095578071409981,4.54152591393744
80,4.884005057215691,1.660440736103973,4.888674761100707,3.317235894352198,2.057861173845222,4.494792757757834,4.0943190349638465,2.0998325746464577,4.537053845147705
81,4.843872335553169,1.692540884424564,4.8882267368452315,3.3776926466822625,2.1135120338976123,4.483621756647078,4.0848876294493675,2.0991323155561186,4.532532182990721
82,4.836463243365288,1.6842627388688256,4.887709101910432,3.3563383001089098,2.117662388062462,4.4723489220816965,4.0864199896156785,2.1044008881173,4.52807106105697
83,4.803105451464653,1.694586184298301,4.886863065405975,3.307758659273386,2.108280054066244,4.4607030194536135,4.139180501848459,2.1928251370597613,4.524182155464885
84,4.702021410465241,1.6727918881736714,4.885014648856567,3.3208869325369594,2.138209396228952,4.449304858584448,4.144849703460932,2.2206117586459344,4.520388830944845
85,4.690338950753212,1.683931817882968,4.883067891875533,3.3104565432388338,2.1352131578161706,4.437916375430992,4.146923291981221,2.248244589318585,4.516654175555209
86,4.6506946921348575,1.696807516499456,4.880744159878126,3.3097802198678257,2.1301221056542605,4.42663501387536,4.183847945928574,2.308846144245519,4.513326113258943
87,4.640945972204208,1.693073776245737,4.878346178001387,3.4312959986925127,2.1746460604164333,4.416681623723531,4.162067448198795,2.2940299047509414,4.509813526608341
88,4.6561677777767185,1.7082988718504588,4.87612439399914,3.425509614087641,2.135856105018414,4.406769903627172,4.162772349119186,2.3122004228652195,4.50634311483345
89,4.700766882896423,1.7395036749107733,4.874370818888113,3.47241125702858,2.167838722692162,4.3974263171611865,4.118849015980959,2.3305049552704795,4.502468173844925
90,4.619122875332832,1.658687332397285,4.8718183394525605,3.4901380647718905,2.188190057498512,4.388353434637294,4.075742728710175,2.3242363329732907,4.498200919393577
91,4.523968679904938,1.6223183158770527,4.868339842857084,3.502612624913454,2.2065845901886307,4.379496026540056,4.066974011808634,2.3314929498406203,4.493888650317728
92,4.477698045670986,1.628256112273691,4.864433424885224,3.5094810776412486,2.2115460387156767,4.3707958770510675,4.117692513614893,2.3398834747931168,4.490126688950699
93,4.407888965308667,1.6356056085973862,4.859867980289459,3.5052976777404545,2.22235285661526,4.362140895057961,4.07790185444057,2.3301197018245645,4.486004440605598
94,4.408434455394745,1.6379961637921328,4.855353645040512,3.4914149425923826,2.2207790569495254,4.353433635533305,4.011704972088337,2.22711491085769,4.481261445920426
95,4.348264112472534,1.6260652074884583,4.850282749714832,3.498402151092887,2.235341175557716,4.344883320688901,3.975754892975092,2.2266629593454526,4.476206380390972
96,4.331646549105645,1.606064804278772,4.8450963877087405,3.5684835265576837,2.3010315170942786,4.337119322747588,3.949314694404602,2.1945874825799847,4.470937463531109
97,4.352241842746735,1.6402089468054148,4.84016784225912,3.5325774458050727,2.2552851637808367,4.329073903978163,3.9681345960497856,2.1998850820821834,4.465909434856296
98,4.3280814278125765,1.6763823815979373,4.835046978114655,3.565771164149046,2.3125296552219003,4.321440876579871,3.9825793801248075,2.2182203365646695,4.461076134308981
99,4.299373508989811,1.668313765896925,4.829690243423407,3.6121240466833116,2.3605950236782856,4.314347708280905,3.904990800693631,2.2067150197417496,4.455515280972828
100,4.29125420242548,1.666480393664944,4.824305883013428,3.609277642592788,2.3434974446022876,4.307297007624023,3.8779168987646697,2.220975919771407,4.449739297150747
101,4.37411144733429,1.699420077304061,4.819803938656637,3.5398776058107613,2.3226948425835374,4.2996228136058905,3.799403361994773,2.145941892894069,4.443235937799187
102,4.374528902471066,1.663817968513742,4.815351188294781,3.502359917163849,2.2822722488066685,4.29165018464147,3.8299365125596525,2.1927980814895482,4.437102943546792
103,4.4085543422400955,1.6731955523009585,4.811283219834235,3.515249252319336,2.2950953245607013,4.283886175318248,3.7831088590621946,2.1980370061607175,4.430563002701946
104,4.409768282622099,1.6669230279799476,4.807268070462114,3.514355554282665,2.2867756766286647,4.276190869107892,3.7221808463335035,2.1855461902942377,4.423479181138261
105,4.462542431652546,1.69426577376384,4.803820814074019,3.5243774127960203,2.286054810049827,4.268672734544773,3.692217678129673,2.1785442065522096,4.416166566108175
106,4.483710889667273,1.7422802294961157,4.800619714829951,3.5848878486454487,2.3545638087576624,4.26183488568578,3.64152142226696,2.1397002780867487,4.408420114669763
107,4.55326288253069,1.7132126788853308,4.798146146506959,3.6034651006758214,2.3112983870526396,4.255251187835681,3.6044060346484184,2.1365550896401917,4.4003799738695495
108,4.613345259428025,1.7353001138381865,4.796298137636169,3.634673059806228,2.360230994437829,4.2490454065553855,3.563148742765188,2.112305844451032,4.392007661558505
109,4.612504326701164,1.744390459669378,4.794460199526819,3.614115393795073,2.377465764443265,4.242696106427783,3.618784656226635,2.197131173746847,4.384275431505187
110,4.543135348558426,1.7534322551987878,4.7919469510171355,3.6180604884028433,2.3928454759274422,4.236449750247533,3.6124389173090456,2.215168662927719,4.376557066363225
111,4.516181807518006,1.7418168212475171,4.789189299582144,3.6135321801155804,2.3971765164439867,4.230220574546213,3.576219345778227,2.1787923312781103,4.368553689157375
112,4.441945180892945,1.701111624588567,4.7857168583952525,3.582459756359458,2.3797169495481034,4.223742966364346,3.615398509502411,2.2209994658845327,4.361022137360825
113,4.543123277425766,1.6790356525837706,4.783290922585557,3.5190229798853396,2.3721156358995046,4.216695766499557,3.613381918668747,2.246218180922052,4.353545735173904
114,4.599825236797333,1.6912121058674128,4.781456265727675,3.4443308267742396,2.318426749765174,4.208972117102304,3.5453360848128797,2.219800035556415,4.345463638670294
115,4.597763403654098,1.6404158804796836,4.779619337106939,3.438982747197151,2.327941384053823,4.201272223403253,3.467129426896572,2.159507900227772,4.336680296552557
116,4.637795261144638,1.6276805708427597,4.778201096347316,3.4394604916870595,2.357646979251948,4.193654106086091,3.4534532296657563,2.1805774914926053,4.327848025883688
117,4.664126132130622,1.6304628633829519,4.777060346705149,3.3733767376840116,2.3202628643948207,4.18545133240207,3.398839644417167,2.1636067337454072,4.318557942069023
118,4.654896656274795,1.6150154047101128,4.775838709800845,3.331908432543278,2.297512619506872,4.176915903403482,3.39071413859725,2.1701373031164812,4.309279504034305
119,4.6440719902515415,1.629801640498837,4.774521042605352,3.3264621705561876,2.319092276521583,4.168411366075008,3.3788962607085704,2.1533242377963453,4.2999756716010475
120,4.751279363036156,1.6367792035391915,4.77428862580966,3.355846821516752,2.3743418691806366,4.1602857206294255,3.396662273555994,2.163231674109168,4.290942537620597
121,4.758232568502426,1.6296467272663586,4.774128065236588,3.337586839646101,2.3649351356341235,4.152058731819592,3.4031167452037336,2.1709244204332907,4.282064279696429
122,4.791700845360756,1.6495275263612947,4.77430379303783,3.3088014002144335,2.3807218489317763,4.14362615850354,3.372443200349808,2.147506754430393,4.272968068902963
123,4.776487885862589,1.7037927612011843,4.774325633966077,3.3082685266062617,2.3889359020632783,4.135272582184568,3.37922806173563,2.1589977567669902,4.264030668831289
124,4.76351601049304,1.6978359619001477,4.774217537731347,3.25911500133574,2.3353606060574097,4.126511006376079,3.2677370342612266,2.0762776896920596,4.254067732485589
125,4.75541294336319,1.6937017309479752,4.774029491787665,3.1958142691105604,2.277274408563013,4.117204039003424,3.248885811716318,2.0697860258937752,4.244015913277896
